,Insertion Sort,Selection Sort
772,26387000,9322761000
773,27143000,9429002000
774,26582000,9509726000
775,16005000,9465592000
776,32302000,9413777000
777,26497000,9509809000
778,32443000,9642763000
779,31482000,9658728000
780,23985000,9659157000
781,32240000,9496078000
782,26974000,9696219000
783,25884000,9676187000
784,30365000,9765437000
785,20790000,9754906000
786,26850000,9955306000
787,28191000,9680469000
788,38508000,9758605000
789,32271000,9770097000
790,26486000,9727845000
791,32148000,9754970000
792,32539000,9922058000
793,31795000,10254529000
794,26032000,10132471000
795,20566000,10655681000
796,30219000,10838952000
797,32034000,9952208000
798,32399000,10010013000
799,31935000,10203088000
800,36957000,10101396000
801,29581000,10193041000
802,30539000,10225396000
803,75958000,10208263000
804,31713000,10138095000
805,27433000,10260665000
806,32440000,10213246000
807,24891000,10265454000
808,27242000,10422520000
809,24817000,10373977000
810,24709000,10321971000
811,26358000,10250869000
812,25755000,10309028000
813,27613000,10340573000
814,27497000,10436490000
815,26945000,10383906000
816,26438000,10378611000
817,26847000,10594494000
818,31305000,10543741000
819,31752000,10687980000
820,26417000,10570978000
821,26059000,10576248000
822,32522000,10671267000
823,32098000,10655875000
824,21281000,10645001000
825,31716000,10682284000
826,42986000,10672444000
827,32249000,10374938000
828,24018000,10544012000
829,26267000,10573952000
830,26269000,10878586000
831,33484000,10884826000
832,27559000,10911944000
833,26248000,10905267000
834,30718000,10933506000
835,25650000,10997813000
836,32684000,10986565000
837,31781000,11075472000
838,31982000,11042522000
839,24484000,10813954000
840,32473000,10842103000
841,32015000,10744724000
842,24016000,10801318000
843,37714000,11296404000
844,26309000,11242824000
845,38026000,11231577000
846,36526000,11285789000
847,33166000,11306589000
848,38108000,11300678000
849,32040000,11394382000
850,26539000,11445045000
851,28215000,11401913000
852,31902000,11473228000
853,32572000,11395133000
854,32512000,11583796000
855,32681000,11522235000
856,29414000,11440913000
857,34908000,11466076000
858,32372000,11701251000
859,31667000,11711969000
860,28032000,11657800000
861,32780000,11593873000
862,37390000,11781318000
863,32541000,11807712000
864,26044000,11808370000
865,32152000,11833846000
866,30154000,12297760000
867,29541000,11824959000
868,37728000,11834186000
869,31854000,11919372000
870,36176000,11953677000
871,35865000,12018362000
872,24022000,12041334000
873,27260000,12516875000
874,32260000,12031605000
875,32367000,12138164000
876,32121000,11973074000
877,32418000,12074214000
878,31754000,12038181000
879,32649000,12170618000
880,38354000,12243447000
881,28110000,12250243000
882,25049000,12228793000
883,26544000,12297969000
884,27149000,12308720000
885,30143000,12369472000
886,38046000,12292527000
887,34969000,12306153000
888,32045000,12555093000
889,32068000,12384163000
890,31734000,12577784000
891,24914000,12481666000
892,31836000,12490821000
893,32879000,12549124000
894,32025000,12650404000
895,32176000,12570715000
896,32255000,12661181000
897,32254000,12586619000
898,27020000,12663256000
899,37092000,12730339000
900,48602000,12730011000
901,35168000,12766603000
902,35103000,12795479000
903,30477000,12784979000
904,31796000,12938326000
905,28292000,12978841000
906,31197000,12876466000
907,27177000,13266046000
908,35235000,13247948000
909,30392000,12942674000
910,31842000,12970626000
911,23875000,13070773000
912,31904000,13123715000
913,32228000,13125073000
914,37551000,13248036000
915,26217000,13125261000
916,31910000,13226967000
917,31514000,13280345000
918,32479000,13580799000
919,29549000,13364867000
920,37574000,13354622000
921,31722000,13354967000
922,31968000,13487389000
923,26652000,13379516000
924,28890000,13419315000
925,38144000,13509153000
926,31705000,13487830000
927,31897000,13532910000
928,35138000,13546095000
929,32045000,13639961000
930,28995000,13545261000
931,34059000,13662189000
932,38114000,13834349000
933,38350000,13681603000
934,37697000,13823862000
935,30587000,13691758000
936,32475000,14106888000
937,32218000,13759767000
938,32244000,13754192000
939,32174000,13968430000
940,31911000,14000218000
941,32040000,13978153000
942,32088000,13978738000
943,32117000,13690408000
944,32346000,13581578000
945,24016000,13482335000
946,32025000,13623303000
947,31996000,13677055000
948,32003000,14017056000
949,41535000,14187754000
950,36720000,14107225000
951,33217000,14270722000
952,32516000,14095763000
953,31829000,15359025000
954,41211000,14807422000
955,40014000,14445072000
956,29352000,14227347000
957,34494000,14420451000
958,31783000,14343440000
959,36609000,14089488000
960,39018000,13963845000
961,29332000,13921196000
962,26942000,14273294000
963,32009000,14391290000
964,32374000,14511618000
965,45131000,14216768000
966,34397000,14221142000
967,34028000,14135031000
968,34704000,14140324000
969,32008000,14241915000
970,42232000,14296271000
971,31391000,14233692000
972,42138000,14305208000
973,24870000,14289348000
974,34524000,14459719000
975,44166000,14458822000
976,36148000,14738865000
977,39326000,14825053000
978,37217000,15156207000
979,41164000,14699583000
980,26153000,14580544000
981,33488000,14783459000
982,30813000,14848443000
983,31994000,15271692000
984,26833000,14755604000
985,39387000,14853726000
986,38130000,14984641000
987,36567000,15107565000
988,38209000,15118727000
989,38612000,15153138000
990,41157000,14943944000
991,36100000,14967523000
992,36592000,15083780000
993,41613000,15314489000
994,39530000,15122163000
995,37780000,15383301000
996,29770000,15178084000
997,36960000,15295956000
998,39955000,15510423000
999,38293000,15106678000
1000,34576000,15410264000
